etag,id.kind,id.videoId,kind,snippet.channelId,snippet.channelTitle,snippet.description,snippet.liveBroadcastContent,snippet.publishTime,snippet.publishedAt,snippet.thumbnails.default.height,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.high.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.medium.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.title,primary_key
o9f_ECT2jpdTs3SnSGI1vI8NLEU,youtube#video,E6TmIa2BBmY,youtube#searchResult,UC1xZLF5s9Uhs9A-0MbGLLyQ,Dajsha Sanders,do not have rights to this music.,none,2022-11-23T02:54:43Z,2022-11-23T02:54:43Z,90,https://i.ytimg.com/vi/E6TmIa2BBmY/default.jpg,120,360,https://i.ytimg.com/vi/E6TmIa2BBmY/hqdefault.jpg,480,180,https://i.ytimg.com/vi/E6TmIa2BBmY/mqdefault.jpg,320,day in the life of voo reaction to taylor swift  album  midnights part 2,taylor swift
hwdek4eCGBNlD1qnxyX5RiArSPI,youtube#video,BYLOwzN22Zg,youtube#searchResult,UC1xZLF5s9Uhs9A-0MbGLLyQ,Dajsha Sanders,don't own rights to these songs.,none,2022-11-23T02:29:42Z,2022-11-23T02:29:42Z,90,https://i.ytimg.com/vi/BYLOwzN22Zg/default.jpg,120,360,https://i.ytimg.com/vi/BYLOwzN22Zg/hqdefault.jpg,480,180,https://i.ytimg.com/vi/BYLOwzN22Zg/mqdefault.jpg,320,day in the life of voo reacts to taylor swift&#39;s new album midnights,taylor swift
2qZvhtgasMu-CN0DoaY7T9gRxBs,youtube#video,XC9k_j6mo9E,youtube#searchResult,UCldQuUMYTUGrjvcU2vaPSFQ,Music Library,"Pop Hits 2022 - Adele, Ed Sheeran, Shawn Mendes, Maroon 5, Taylor Swift, Sam Smith, Dua Lipa Pop Hits 2022 - Adele, Ed ...",none,2022-11-23T02:01:37Z,2022-11-23T02:01:37Z,90,https://i.ytimg.com/vi/XC9k_j6mo9E/default.jpg,120,360,https://i.ytimg.com/vi/XC9k_j6mo9E/hqdefault.jpg,480,180,https://i.ytimg.com/vi/XC9k_j6mo9E/mqdefault.jpg,320,"Pop Hits 2022 - Adele, Ed Sheeran, Shawn Mendes, Maroon 5, Taylor Swift, Sam Smith, Dua Lipa",taylor swift
YwAPR11IZyz_yntCbDhC8wsIqaQ,youtube#video,NhRQBVXmQoM,youtube#searchResult,UCLGpDrnAgJN1-k2BISLThuw,Music Collection,"Billboard Hot 100 This Week - AVA MAX, Sam Smith, Dua Lipa, Camila Cabello, Taylor Swift, DNCE Billboard Hot 100 This Week ...",none,2022-11-23T01:55:37Z,2022-11-23T01:55:37Z,90,https://i.ytimg.com/vi/NhRQBVXmQoM/default.jpg,120,360,https://i.ytimg.com/vi/NhRQBVXmQoM/hqdefault.jpg,480,180,https://i.ytimg.com/vi/NhRQBVXmQoM/mqdefault.jpg,320,"Billboard Hot 100 This Week - AVA MAX, Sam Smith, Dua Lipa, Camila Cabello, Taylor Swift, DNCE",taylor swift
BDde-8ZiDahBlCeYEobpp0hVVgc,youtube#video,_KC_yUfk3hk,youtube#searchResult,UCNDiM_HqTx4jgO0Y4bmk8Dw,zerbear,Support the stream: https://streamlabs.com/depressedperson2.,none,2022-11-23T00:53:41Z,2022-11-23T00:53:41Z,90,https://i.ytimg.com/vi/_KC_yUfk3hk/default.jpg,120,360,https://i.ytimg.com/vi/_KC_yUfk3hk/hqdefault.jpg,480,180,https://i.ytimg.com/vi/_KC_yUfk3hk/mqdefault.jpg,320,jaelynn is a simp for taylor swift,taylor swift
wL7P8i-N2XcRvIIGJFoS6PVyuSQ,youtube#video,3fuNcj2Gxeg,youtube#searchResult,UCx4sMWU5kSrCEmHq2XMhLUg,EvilnissanGTR 🚗,,none,2022-11-23T00:52:12Z,2022-11-23T00:52:12Z,90,https://i.ytimg.com/vi/3fuNcj2Gxeg/default.jpg,120,360,https://i.ytimg.com/vi/3fuNcj2Gxeg/hqdefault.jpg,480,180,https://i.ytimg.com/vi/3fuNcj2Gxeg/mqdefault.jpg,320,taylor swift in mario and sonic london party (part 2),taylor swift
cairQlwcjMKDScx8IHxepSBSZr8,youtube#video,QywPaeH74yg,youtube#searchResult,UCBnWivGgyaZv2uAY425ZJhw,whereisguccimane,LATELY THE INDUSTRY PUPPETS HAVE BEEN SHOWING US THEIR WAX FIGURES.,none,2022-11-22T17:13:02Z,2022-11-22T17:13:02Z,90,https://i.ytimg.com/vi/QywPaeH74yg/default.jpg,120,360,https://i.ytimg.com/vi/QywPaeH74yg/hqdefault.jpg,480,180,https://i.ytimg.com/vi/QywPaeH74yg/mqdefault.jpg,320,CELEBRITY WAX FIGURES ARE THEY REALLY WAX? | TAYLOR SWIFT ZENDAYA AND MORE,taylor swift
BhZT3QkhTloghAnZs1Nn2UkqH2Q,youtube#video,2lupiK0DiOc,youtube#searchResult,UCwcKV1Jd-3Vl2AaK4OOjBWg,English Songs,"Lastest English Songs 2023 Adele, Maroon 5, Ed Sheeran, Shawn Mendes, Taylor Swift ...",none,2022-11-22T14:20:26Z,2022-11-22T14:20:26Z,90,https://i.ytimg.com/vi/2lupiK0DiOc/default.jpg,120,360,https://i.ytimg.com/vi/2lupiK0DiOc/hqdefault.jpg,480,180,https://i.ytimg.com/vi/2lupiK0DiOc/mqdefault.jpg,320,"Lastest  English Songs 2023 💖Adele, Maroon 5, Ed Sheeran, Shawn Mendes, Taylor Swift",taylor swift
cdIDp9ccNxcZHxu1U_0ErhG9qcw,youtube#video,beAfPakGlVA,youtube#searchResult,UCwcKV1Jd-3Vl2AaK4OOjBWg,English Songs,"Lastest English Songs Top Songs 2023 Adele, Maroon 5, Ed Sheeran, Shawn Mendes, Taylor Swift ...",none,2022-11-22T14:06:03Z,2022-11-22T14:06:03Z,90,https://i.ytimg.com/vi/beAfPakGlVA/default.jpg,120,360,https://i.ytimg.com/vi/beAfPakGlVA/hqdefault.jpg,480,180,https://i.ytimg.com/vi/beAfPakGlVA/mqdefault.jpg,320,"Lastest  English Songs💖💖Top Songs 2023 💖Adele, Maroon 5, Ed Sheeran, Shawn Mendes, Taylor Swift",taylor swift
GcEREMUKadRLr8E20JQQ8KrVqo0,youtube#video,98sFtnKRu_4,youtube#searchResult,UCSAhWlRkvLt51rQRmJI3dKA,Bon Jakobsen,ไม่ใช่แค่เขียนเพลงเพราะๆ แต่สาวเทเลอร์เขียนเพลงที่สะท้อน ความสัมพันธ์ toxic เเละความบอบช้ำที่เกิดขึ้ เป็นผลจากคงวามสัมพันธ์เหล่านั้น.,none,2022-11-22T12:58:23Z,2022-11-22T12:58:23Z,90,https://i.ytimg.com/vi/98sFtnKRu_4/default.jpg,120,360,https://i.ytimg.com/vi/98sFtnKRu_4/hqdefault.jpg,480,180,https://i.ytimg.com/vi/98sFtnKRu_4/mqdefault.jpg,320,แปล Taylor swift จากเพลง Anti Hero,taylor swift
