Title,Views,Time,ChannelName,Link
HP announces major layoffs,1.4K views,8 hours ago,ABC News,https://www.youtube.com/watch?v=hzE7-qT-ZGc
"Amazon, Meta, Netflix: Why Big Tech Is Facing Massive Layoffs | WSJ",1M views,5 days ago,Wall Street Journal,https://www.youtube.com/watch?v=JYVMuWGCtK4
"Underperforming workers will struggle amid layoffs, says Harvard's Tsedal Neeley",6.6K views,1 day ago,CNBC Television,https://www.youtube.com/watch?v=MRv3EnQHBcU
Layoff Paavangal | Parithabangal,1.3M views,1 day ago,Parithabangal,https://www.youtube.com/watch?v=FRAS6BiFcS8
Alphabet likely to join the ongoing wave of tech layoffs,5.4K views,1 day ago,Yahoo Finance,https://www.youtube.com/watch?v=E2XepGCIcl8
"Twitter: Elon Musk delays relaunch of verification system amid layoffs, workforce uncertainty",10K views,23 hours ago,Yahoo Finance,https://www.youtube.com/watch?v=lHIX2noJgF8
"Amazon plans to layoff about 10,000 employees this week",2.5K views,8 days ago,Yahoo Finance,https://www.youtube.com/shorts/Xjy-wWlaxHg
Are Tech Industry Layoffs An Indication Of Our Economy's Future?,5.4K views,3 days ago,TODAY,https://www.youtube.com/watch?v=JYk0DgRoQUE
More layoffs reportedly planned at Twitter as Elon Musk reinstates controversial accounts,71K views,2 days ago,CBS News,https://www.youtube.com/watch?v=Rx9vZPPktU4
"Underperforming workers will struggle amid layoffs, says Harvard's Tsedal Neeley",6.6K views,1 day ago,CNBC Television,https://www.youtube.com/watch?v=MRv3EnQHBcU
How I'm Protecting Myself During These Tech Layoffs,978 views,1 day ago,Your Average Tech Bro,https://www.youtube.com/watch?v=enUuSAch_Gs
"Report: Google parent Alphabet plans to lay off about 10,000 employees | Latest English News | WION",72K views,1 day ago,WION,https://www.youtube.com/watch?v=m53_zEZa5ew
LAYOFFS ARE HERE! | Recession in TECH | Layoffs in Google Amazon Facebook! | What is happening?,35K views,9 hours ago,Nishant Chahar,https://www.youtube.com/watch?v=ZObqUG_t0uY
Top-ranked market analyst says FTX just another ‘mania’,4.5K views,4 hours ago,Fox Business,https://www.youtube.com/watch?v=q4WcjvQAU_8
Tesla Employees Reveal Elon Musk’s True Colors,114K views,11 months ago,Simply Tech,https://www.youtube.com/watch?v=cjqM3PWi8Yo
"There could be sell volatility in December, says SoFi's Liz Young",28K views,23 hours ago,CNBC Television,https://www.youtube.com/watch?v=xvhJAdlcmcI
"Twitter Loses 5,000 Workers Under Musk",28K views,21 hours ago,Bloomberg Technology,https://www.youtube.com/watch?v=5BenwYyqU1I
"Layoffs hit Amazon's ""Alexa"" team",1.3K views,4 hours ago,CBS News,https://www.youtube.com/watch?v=XfjdaeSDiAQ
Why Meta is Conducting Mass Layoffs for the First Time Ever,26K views,1 day ago,Wall Street Millennial,https://www.youtube.com/watch?v=JZrf0DHotNU
A Wave of U.S. Layoffs May Be Coming. 'Zombie' Companies Could Be Why.,13K views,23 hours ago,Dion Rabouin | WSJ,https://www.youtube.com/watch?v=EXbTbNYTwYg
HP Inc CEO on the company's planned layoffs and 'Future Ready Transformation plan',1.4K views,21 hours ago,CNBC Television,https://www.youtube.com/watch?v=OS4b5PrSl1U
LAY OFF Paavangal Reaction 😂 || Ramstk Family,5.4K views,19 hours ago,The Ramstk Family,https://www.youtube.com/watch?v=FR31MUKOtsQ
Fake Experience and Mass Layoff - What You Should Do 🤔 My Thoughts!! @Learn Code - Technical Suneja,23K views,10 hours ago,Technical Suneja,https://www.youtube.com/watch?v=7lCPW8c3oDU
Meta and other Big Tech companies announce layoffs,117K views,2 weeks ago,CNBC Television,https://www.youtube.com/watch?v=6bczFCQNMUk
WION Wideangle | Mass layoffs: Why big tech is stumbling,99K views,5 days ago,WION,https://www.youtube.com/watch?v=E0ahYE1HqO4
Michigan Gov. Whitmer facing scrutiny as green energy push prompts layoffs,154K views,3 days ago,Fox News,https://www.youtube.com/watch?v=Hglwu2QBBg8
The Great Layoff 2022: Why are companies laying off their employees? | CA Aleena Rais,38K views,4 days ago,Groww,https://www.youtube.com/watch?v=d2_2LABOfhE
